"Parasite.species","Host.no","Stage","hosts","hs","var.hs","stage2","maxLCL","abs_diff","rel_diff"
"Echinorhynchus lageniformis",1,"1larv",1,1,NA,"larva",2,0.113587766416792,2.3802992761243
"Echinorhynchus lageniformis",2,"adult",3,2,0,"adult",2,1.63517996288205,1.18570558649267
"Echinorhynchus leidyi",1,"1larv",1,1,NA,"larva",2,NA,NA
"Echinorhynchus leidyi",2,"adult",1,1,NA,"adult",2,NA,NA
"Echinorhynchus salmonis",1,"1larv",4,2.5,0.583333333333333,"larva",3,1.12234159901405,3.36564163659406
"Echinorhynchus salmonis",2,"adult",12,3.39393939393939,1.02662993572084,"adult",3,16.0093872707516,1.1835012268572
"Echinorhynchus salmonis",3,"adult",7,1.66666666666667,0.222222222222222,"adult",3,NA,NA
"Echinorhynchus sp.",1,"1larv",1,1,NA,"larva",2,0.185799581844755,2.66141238973332
"Echinorhynchus sp.",2,"adult",1,1,NA,"adult",2,35.5724634632055,2.28338853219827
"Echinorhynchus truttae",1,"1larv",2,2,0,"larva",2,0.465340034232579,2.5946177985095
"Echinorhynchus truttae",2,"adult",3,2,0,"adult",2,16.1031991857155,1.55043899255886
"Echinuria uncinata",1,"1larv",12,3.81818181818182,1.45179063360882,"larva",2,NA,NA
"Echinuria uncinata",2,"adult",7,1.85714285714286,0.122448979591837,"adult",2,NA,NA
"Elaphostrongylus alces",1,"1larv",2,3,0,"larva",2,0.000843118708761194,0.923161151030088
"Elaphostrongylus alces",2,"adult",2,2,0,"adult",2,3.38234307289248,3.54825295472673
"Elaphostrongylus cervi",1,"1larv",18,2.83333333333333,0.272222222222222,"larva",2,0.00157925625906533,1.11237891287672
"Elaphostrongylus cervi",2,"adult",3,1.66666666666667,0.222222222222222,"adult",2,1.85325542228647,3.03499080281286
"Elaphostrongylus rangiferi",1,"1larv",4,NA,NA,"larva",2,0.00141937133332275,1.13825870251228
"Elaphostrongylus rangiferi",2,"adult",2,2,0,"adult",2,1.6204448298335,3.02515230581068
"Enterobius vermicularis",1,"adult",1,1,NA,"adult",1,2.87121500960534,3.61070964792188
"Epomidiostomum uncinatum",1,"adult",6,2,2,"adult",1,0.580395182749143,3.96341566518119
"Equinia mamillana",1,"1larv",7,2.57142857142857,0.530612244897959,"larva",2,0.0137303359285019,0.948446916443639
"Equinia mamillana",2,"adult",1,1,NA,"adult",2,NA,NA
"Eubothrium crassum",1,"1larv",3,3,2,"larva",3,NA,NA
"Eubothrium crassum",2,"2larv",2,3,0,"larva",3,NA,NA
"Eubothrium crassum",3,"adult",8,1.85714285714286,0.122448979591837,"adult",3,NA,NA
"Eubothrium rugosum",1,"1larv",4,1.66666666666667,0.222222222222222,"larva",3,NA,NA
"Eubothrium rugosum",2,"2larv",1,1,NA,"larva",3,NA,NA
"Eubothrium rugosum",3,"adult",1,1,NA,"adult",3,NA,NA
"Eubothrium salvelini",1,"1larv",7,1.28571428571429,0.204081632653061,"larva",3,0.00249015556127653,0.359857245896359
"Eubothrium salvelini",2,"2larv",2,4,0,"larva",3,NA,NA
"Eubothrium salvelini",3,"adult",9,1.86111111111111,0.119598765432099,"adult",3,NA,NA
"Eucoleus aerophilus",1,"1larv",4,1.66666666666667,0.222222222222222,"larva",2,NA,NA
"Eucoleus aerophilus",2,"adult",6,2.66666666666667,0.355555555555556,"adult",2,NA,NA
"Eucoleus annulatus",1,"1larv",4,NA,NA,"larva",2,NA,NA
"Eucoleus annulatus",2,"adult",4,2,0,"adult",2,NA,NA
"Eucoleus contortus",1,"1larv",2,NA,NA,"larva",2,NA,NA
"Eucoleus contortus",2,"adult",13,3.29487179487179,0.951512163050625,"adult",2,NA,NA
"Eucoleus frugilegi",1,"1larv",2,2,0,"larva",2,NA,NA
"Eucoleus frugilegi",2,"adult",2,1,0,"adult",2,NA,NA
"Eurycestus avoceti",1,"1larv",2,1,0,"larva",2,NA,NA
"Eurycestus avoceti",2,"adult",3,1.66666666666667,0.222222222222222,"adult",2,NA,NA
"Eustrongylides excisus",1,"1larv",3,3.33333333333333,0.888888888888889,"larva",3,NA,NA
"Eustrongylides excisus",2,"2larv",14,3.79120879120879,0.868494143219418,"larva",3,NA,NA
"Eustrongylides excisus",3,"adult",2,4,0,"adult",3,NA,NA
"Eustrongylides ignotus",1,"1larv",1,1,NA,"larva",4,0.234370976080077,2.1693566088179
"Eustrongylides ignotus",2,"2larv",7,3,0.571428571428571,"larva",4,10.2063841272851,1.64594398947721
"Eustrongylides ignotus",3,"3larv",5,2.7,1.21,"larva",4,NA,NA
"Eustrongylides ignotus",4,"adult",4,2.83333333333333,1.47222222222222,"adult",4,NA,NA
"Eustrongylides tubifex",1,"1larv",2,2,0,"larva",4,0.0418816398065078,1.50942134985946
"Eustrongylides tubifex",2,"2larv",6,3.6,0.64,"larva",4,8.17797898915073,2.27926023544542
"Eustrongylides tubifex",3,"3larv",6,3.13333333333333,1.18222222222222,"larva",4,NA,NA
"Eustrongylides tubifex",4,"adult",5,3.3,1.21,"adult",4,NA,NA
"Fessisentis fessus",1,"1larv",2,2,0,"larva",2,0.47341762395966,2.92636334545624
"Fessisentis fessus",2,"adult",2,5,0,"adult",2,36.1137942582236,1.88757671256763
"Fessisentis friedi",1,"1larv",1,1,NA,"larva",2,NA,NA
"Fessisentis friedi",2,"adult",2,4,0,"adult",2,NA,NA
"Fessisentis necturorum",1,"1larv",1,1,NA,"larva",2,NA,NA
"Fessisentis necturorum",2,"adult",4,3,0,"adult",2,NA,NA
"Filaroides hirthi",1,"adult",1,1,NA,"adult",1,0.0585989549061531,1.53741144216824
"Filaroides martis",1,"1larv",8,3.47619047619048,0.249433106575964,"larva",3,1.8215268364779e-05,0.120874293955151
"Filaroides martis",2,"2larv",5,3.5,0.45,"larva",3,NA,NA
"Filaroides martis",3,"adult",2,2,0,"adult",3,NA,NA
"Filicollis anatis",1,"1larv",1,1,NA,"larva",2,0.246371065547278,2.70264160052253
"Filicollis anatis",2,"adult",5,2.8,0.96,"adult",2,192.300880730391,2.89208659488657
"Fimbriaria fasciolaris",1,"1larv",14,3.86813186813187,1.96063277381959,"larva",3,0.0125007643111086,1.32977288674887
"Fimbriaria fasciolaris",2,"2larv",4,2.5,2.25,"larva",3,-0.00718183414574769,-0.344501999428169
"Fimbriaria fasciolaris",3,"adult",17,1.66176470588235,0.223832179930796,"adult",3,NA,NA
"Fimbriarioides intermedia",1,"1larv",6,3.6,2.37333333333333,"larva",2,0.0118970019396343,0.930831750375429
"Fimbriarioides intermedia",2,"adult",2,2,0,"adult",2,NA,NA
"Fimbriarioides tadornae",1,"1larv",3,1,0,"larva",2,NA,NA
"Fimbriarioides tadornae",2,"adult",1,1,NA,"adult",2,NA,NA
"Flamingolepis dolguschini",1,"1larv",2,3,0,"larva",2,NA,NA
"Flamingolepis dolguschini",2,"adult",2,1,NA,"adult",2,NA,NA
"Flamingolepis flamingo",1,"1larv",2,1,0,"larva",2,NA,NA
"Flamingolepis flamingo",2,"adult",1,1,NA,"adult",2,NA,NA
"Flamingolepis liguloides",1,"1larv",2,1,0,"larva",2,0.130759605047163,2.41574484743614
"Flamingolepis liguloides",2,"adult",1,1,NA,"adult",2,NA,NA
"Flamingolepis tengizi",1,"1larv",2,3,0,"larva",2,NA,NA
"Flamingolepis tengizi",2,"adult",2,1,NA,"adult",2,NA,NA
"Gallegostrongylus australis",1,"1larv",6,2.73333333333333,0.328888888888889,"larva",2,0.000224501195538548,0.795730891309861
"Gallegostrongylus australis",2,"adult",5,1.4,0.24,"adult",2,0.113745536524413,2.62998589472549
"Gangesia parasiluri",1,"1larv",1,1,NA,"larva",3,0.000339416034047668,0.325105080058974
"Gangesia parasiluri",2,"2larv",2,2,0,"larva",3,0.00423693543945189,0.879559737785806
"Gangesia parasiluri",3,"adult",1,1,NA,"adult",3,NA,NA
"Gastrotaenia paracygni",1,"1larv",1,1,NA,"larva",2,0.0607308082649526,2.65476461844974
"Gastrotaenia paracygni",2,"adult",1,1,NA,"adult",2,NA,NA
"Geopetitia aspiculata",1,"1larv",3,3.33333333333333,0.888888888888889,"larva",2,0.00148302652485247,0.480639652868602
"Geopetitia aspiculata",2,"adult",17,3.11666666666667,0.386388888888889,"adult",2,17.4018204912687,3.89515836497192
"Glaridacris catostomi",1,"1larv",7,1.93333333333333,0.0622222222222222,"larva",2,0.0596196688312799,2.00562689296185
"Glaridacris catostomi",2,"adult",2,1,0,"adult",2,NA,NA
"Glaridacris confusa",1,"1larv",6,2,0,"larva",2,0.0218294345801794,1.93247653431571
"Glaridacris confusa",2,"adult",4,1.5,0.25,"adult",2,NA,NA
"Glaridacris vogei",1,"1larv",3,1.66666666666667,0.222222222222222,"larva",2,0.115410594919826,1.98008916662194
"Glaridacris vogei",2,"adult",3,1,0,"adult",2,NA,NA
"Gnathostoma binucleatum",1,"1larv",8,1.78571428571429,0.168367346938776,"larva",4,0.00102913828919173,1.57963734844977
"Gnathostoma binucleatum",2,"2larv",13,3.67948717948718,1.11522024983563,"larva",4,0.300815767766361,2.45576432029974
"Gnathostoma binucleatum",3,"3larv",5,4.83333333333333,0.138888888888889,"larva",4,0.333107683902654,0.322936447096076
"Gnathostoma binucleatum",4,"adult",3,2.66666666666667,0.222222222222222,"adult",4,23.599516643076,1.58167368140939
"Gnathostoma doloresi",1,"1larv",6,1.93333333333333,0.0622222222222222,"larva",4,NA,NA
"Gnathostoma doloresi",2,"2larv",6,4.26666666666667,1.26222222222222,"larva",4,NA,NA
"Gnathostoma doloresi",3,"3larv",7,2.52380952380952,0.344671201814059,"larva",4,0.0762493662208135,0.182111352474034
"Gnathostoma doloresi",4,"adult",1,1,NA,"adult",4,NA,NA
"Gnathostoma hispidum",1,"1larv",10,1.91111111111111,0.0809876543209877,"larva",4,NA,NA
"Gnathostoma hispidum",2,"2larv",9,4.58333333333333,0.798611111111111,"larva",4,0.191620476295172,2.1434829849736
"Gnathostoma hispidum",3,"3larv",12,4.24444444444444,0.584691358024691,"larva",4,NA,NA
"Gnathostoma hispidum",4,"adult",1,1,NA,"adult",4,NA,NA
"Gnathostoma lamothei",1,"1larv",1,1,NA,"larva",4,NA,NA
"Gnathostoma lamothei",2,"2larv",8,4.66666666666667,0.622222222222222,"larva",4,NA,NA
"Gnathostoma lamothei",3,"3larv",3,2,0,"larva",4,NA,NA
"Gnathostoma lamothei",4,"adult",1,1,NA,"adult",4,NA,NA
"Gnathostoma nipponicum",1,"1larv",6,2,0,"larva",4,0.00133366912274145,1.52663345072235
"Gnathostoma nipponicum",2,"2larv",9,4.60714285714286,0.595663265306123,"larva",4,0.02114193204449,1.21433979736905
"Gnathostoma nipponicum",3,"3larv",7,4.13333333333333,1.58222222222222,"larva",4,0.0166462221974057,0.240372129669919
"Gnathostoma nipponicum",4,"adult",1,1,NA,"adult",4,139.537361394461,3.55193969856517
"Gnathostoma procyonis",1,"1larv",3,1.66666666666667,0.222222222222222,"larva",4,0.000751460166279249,1.23246169394966
"Gnathostoma procyonis",2,"2larv",1,1,NA,"larva",4,NA,NA
"Gnathostoma procyonis",3,"3larv",10,3.77777777777778,0.928395061728395,"larva",4,NA,NA
"Gnathostoma procyonis",4,"adult",1,1,NA,"adult",4,21.1247782172793,1.61989596042282
"Gnathostoma spinigerum",1,"1larv",5,1.8,0.16,"larva",4,0.00103032477668832,1.14751758402038
"Gnathostoma spinigerum",2,"2larv",27,4.16615384615385,0.661623668639053,"larva",4,0.486415047678467,2.64294419436255
"Gnathostoma spinigerum",3,"3larv",31,4.53978494623656,0.510782749450804,"larva",4,3.43712990182992,0.905805086626525
"Gnathostoma spinigerum",4,"adult",5,2.3,0.41,"adult",4,50.5621862486142,1.14249022189557
"Gnathostoma turgidum",1,"1larv",2,2,0,"larva",3,0.00048019359579911,0.791457216975572
"Gnathostoma turgidum",2,"2larv",8,4.57142857142857,1.00680272108844,"larva",3,0.0280331729194951,1.69847170891904
"Gnathostoma turgidum",3,"adult",2,1,0,"adult",3,256.445230534224,3.95258671279059
"Goezia ascaroides",1,"1larv",1,1,NA,"larva",3,NA,NA
"Goezia ascaroides",2,"2larv",4,2,0,"larva",3,NA,NA
"Goezia ascaroides",3,"adult",4,3.66666666666667,0.555555555555556,"adult",3,NA,NA
"Golvanacanthus blennii",1,"1larv",1,1,NA,"larva",2,NA,NA
"Golvanacanthus blennii",2,"adult",7,3.28571428571429,1.3469387755102,"adult",2,0.0889923614283976,0.137299476463755
"Gongylonema brevispiculum",1,"1larv",1,1,NA,"larva",2,0.000870567803796281,0.270380790584271
"Gongylonema brevispiculum",2,"adult",2,4,0,"adult",2,3.00274120932031,3.20397936435061
"Gongylonema congolense",1,"1larv",1,1,NA,"larva",2,0.0404993246399619,1.53952963233295
"Gongylonema congolense",2,"adult",4,3.33333333333333,0.555555555555556,"adult",2,1.77461824394559,1.6390216384149
"Gongylonema dupuisi",1,"1larv",1,1,NA,"larva",2,NA,NA
"Gongylonema dupuisi",2,"adult",1,1,NA,"adult",2,NA,NA
"Gongylonema ingluvicola",1,"1larv",4,3,1,"larva",2,0.007000722713065,0.862087719742259
"Gongylonema ingluvicola",2,"adult",3,2.66666666666667,0.222222222222222,"adult",2,6.09418611139192,2.87617211310674
"Gongylonema mucronatum",1,"1larv",1,1,NA,"larva",2,0.00713783758988078,0.745961560822356
"Gongylonema mucronatum",2,"adult",1,1,NA,"adult",2,2.51489813483294,2.46253768478843
"Gongylonema neoplasticum",1,"1larv",5,3.5,0.85,"larva",2,NA,NA
"Gongylonema neoplasticum",2,"adult",4,3.33333333333333,0.555555555555556,"adult",2,NA,NA
"Gongylonema problematicum",1,"1larv",2,4,0,"larva",2,0.0216091047285133,1.250602495514
"Gongylonema problematicum",2,"adult",2,1,0,"adult",2,NA,NA
"Gongylonema pulchrum",1,"1larv",26,2.49846153846154,0.877689940828402,"larva",2,0.00766792430408746,2.30747994599819
"Gongylonema pulchrum",2,"adult",10,3.64444444444444,0.495802469135802,"adult",2,6.6195436669668,2.93451075938812
"Gongylonema soricis",1,"1larv",1,1,NA,"larva",2,0.00157997607689115,0.418553613825562
"Gongylonema soricis",2,"adult",2,1,0,"adult",2,NA,NA
"Graphidium strigosum",1,"adult",3,1.66666666666667,0.222222222222222,"adult",1,1.27049449656897,3.41661170783202
"Grillotia erinaceus",1,"1larv",4,3,0,"larva",3,NA,NA
"Grillotia erinaceus",2,"2larv",18,3.75735294117647,0.374945934256055,"larva",3,4.60661068525536,3.63877401675159
"Grillotia erinaceus",3,"adult",7,2.23809523809524,1.41950113378685,"adult",3,NA,NA
"Gynandrotaenia stammeri",1,"1larv",2,1,0,"larva",2,0.0194935126023546,2.03384773045268
"Gynandrotaenia stammeri",2,"adult",2,1,0,"adult",2,NA,NA
"Gyrinicola batrachiensis",1,"adult",8,2.66666666666667,0.555555555555556,"adult",1,0.287712281259001,3.05133731247792
"Hadjelia truncata",1,"1larv",4,1.83333333333333,0.138888888888889,"larva",2,NA,NA
"Hadjelia truncata",2,"adult",4,4,0,"adult",2,NA,NA
"Haemonchus contortus",1,"adult",5,2.4,0.24,"adult",1,3.72513604851232,4.04107472182734
"Haemonchus placei",1,"adult",2,2,0,"adult",1,NA,NA
"Hammerschmidtiella diesingi",1,"adult",1,1,NA,"adult",1,0.125953488551604,3.70818374851964
"Haplobothrium globuliforme",1,"1larv",1,1,NA,"larva",3,-0.000491724700133753,-0.717341694407061
"Haplobothrium globuliforme",2,"2larv",4,4,0,"larva",3,0.609157485884817,3.71799639429425
"Haplobothrium globuliforme",3,"adult",1,1,NA,"adult",3,NA,NA
"Hartertia gallinarum",1,"1larv",1,1,NA,"larva",2,NA,NA
"Hartertia gallinarum",2,"adult",1,1,NA,"adult",2,NA,NA
"Hartertia obesa",1,"1larv",1,1,NA,"larva",2,NA,NA
"Hartertia obesa",2,"adult",1,1,NA,"adult",2,NA,NA
"Hassalstrongylus musculi",1,"adult",1,1,NA,"adult",1,0.0799272170117586,2.32975414692588
"Hedruris androphora",1,"1larv",1,1,NA,"larva",2,0.220089640221371,2.39643429134466
"Hedruris androphora",2,"adult",6,3.33333333333333,0.622222222222222,"adult",2,0.830003935803061,0.677248360141396
"Hedruris ijimai",1,"1larv",1,1,NA,"larva",2,0.21070888165931,2.45664150529787
"Hedruris ijimai",2,"adult",5,1.6,0.24,"adult",2,1.45581047847433,0.896799818097582
"Hedruris spinigera",1,"1larv",1,1,NA,"larva",2,0.373076719378943,3.11741841599345
"Hedruris spinigera",2,"adult",6,4,0,"adult",2,2.05073858473592,0.812420884438742
"Hedruris suttonae",1,"1larv",1,1,NA,"larva",2,NA,NA
"Hedruris suttonae",2,"adult",2,1,0,"adult",2,NA,NA
"Heligmosomoides kurilensis",1,"adult",2,2,0,"adult",1,0.542324971648307,2.63324763722888
"Heligmosomoides laevis",1,"adult",1,1,NA,"adult",1,0.0668886010901543,2.36302326666901
"Heligmosomoides polygyrus",1,"adult",4,2.33333333333333,0.555555555555556,"adult",1,NA,NA
"Heligmosomum mixtum",1,"adult",3,1.66666666666667,0.222222222222222,"adult",1,1.63684463141105,3.95972432168199
"Hepatojarakus malayae",1,"adult",2,1,0,"adult",1,1.7544225532711,4.21331191250187
"Heterakis gallinarum",1,"1larv",4,NA,NA,"larva",2,NA,NA
"Heterakis gallinarum",2,"adult",5,3.1,0.69,"adult",2,NA,NA
"Heterakis spumosa",1,"1larv",3,NA,NA,"larva",2,NA,NA
"Heterakis spumosa",2,"adult",3,1.66666666666667,0.222222222222222,"adult",2,NA,NA
"Hexaglandula corynosoma",1,"1larv",2,1,0,"larva",2,0.340508771602372,2.57685120581542
"Hexaglandula corynosoma",2,"adult",1,1,NA,"adult",2,NA,NA
"Hexametra angusticaecoides",1,"1larv",3,3.66666666666667,0.222222222222222,"larva",3,NA,NA
"Hexametra angusticaecoides",2,"2larv",9,2.30555555555556,2.26774691358025,"larva",3,NA,NA
"Hexametra angusticaecoides",3,"adult",6,2.53333333333333,0.248888888888889,"adult",3,NA,NA
"Hexametra boddaertii",1,"1larv",5,3.6,1.64,"larva",2,NA,NA
"Hexametra boddaertii",2,"adult",9,2.63888888888889,0.397376543209877,"adult",2,NA,NA
"Hexametra quadricornis",1,"1larv",9,2.75,0.6875,"larva",2,37.1459223015553,4.03709131158199
"Hexametra quadricornis",2,"adult",30,2.67586206896552,0.269647245342846,"adult",2,96.2016106917868,0.555045071747022
"Hilmylepis nagatyi",1,"1larv",1,1,NA,"larva",2,NA,NA
"Hilmylepis nagatyi",2,"adult",6,1,0,"adult",2,NA,NA
"Huffmanela huffmani",1,"1larv",2,3,0,"larva",2,NA,NA
"Huffmanela huffmani",2,"adult",8,1.46428571428571,0.248724489795918,"adult",2,NA,NA
"Hunterella nodulosa",1,"1larv",2,1,0,"larva",2,0.0512814242160563,1.61327100189597
"Hunterella nodulosa",2,"adult",2,1,0,"adult",2,NA,NA
"Hymenolepis abortiva",1,"1larv",1,1,NA,"larva",2,NA,NA
"Hymenolepis abortiva",2,"adult",4,1.83333333333333,0.138888888888889,"adult",2,NA,NA
"Hymenolepis aequabilis",1,"1larv",1,1,NA,"larva",2,0.0173487385711026,1.80583948436872
"Hymenolepis aequabilis",2,"adult",3,1.66666666666667,0.222222222222222,"adult",2,NA,NA
"Hymenolepis cantaniana",1,"1larv",3,1,0,"larva",2,NA,NA
"Hymenolepis cantaniana",2,"adult",2,3,0,"adult",2,NA,NA
"Hymenolepis carioca",1,"1larv",2,1,NA,"larva",2,NA,NA
"Hymenolepis carioca",2,"adult",2,4,0,"adult",2,NA,NA
"Hymenolepis citelli",1,"1larv",6,2.4,0.24,"larva",2,0.0359708361932504,2.13598844121716
"Hymenolepis citelli",2,"adult",13,2.25641025641026,0.241946088099934,"adult",2,NA,NA
"Hymenolepis diminuta",1,"1larv",6,3.2,1.16,"larva",2,0.0381319487355102,1.94815978325644
"Hymenolepis diminuta",2,"adult",6,2.2,0.426666666666667,"adult",2,NA,NA
"Hymenolepis nana",1,"1larv",6,3.2,0.76,"larva",2,0.0151691543667986,1.56480207762989
"Hymenolepis nana",2,"adult",9,2.75,0.743055555555556,"adult",2,NA,NA
"Hymenolepis peromysci",1,"1larv",3,1.66666666666667,0.222222222222222,"larva",2,0.0276907961368732,1.64187548869367
"Hymenolepis peromysci",2,"adult",3,1.66666666666667,0.222222222222222,"adult",2,NA,NA
"Hymenolepis tenerrima",1,"1larv",1,1,NA,"larva",2,NA,NA
"Hymenolepis tenerrima",2,"adult",1,1,NA,"adult",2,NA,NA
"Hymenolepis vistulae",1,"1larv",1,1,NA,"larva",2,0.00906126951081026,1.20077032009097
"Hymenolepis vistulae",2,"adult",1,1,NA,"adult",2,NA,NA
"Hyostrongylus rubidus",1,"adult",2,4,0,"adult",1,0.0636316928486425,2.18857278804784
"Hysterothylacium aduncum",1,"1larv",28,4.17,0.9211,"larva",3,0.138070269722157,3.35590413716183
"Hysterothylacium aduncum",2,"2larv",23,5.24110671936759,1.25807308347264,"larva",3,0.397051340076116,0.588210297533388
"Hysterothylacium aduncum",3,"adult",15,3.6,0.563809523809524,"adult",3,8.64447065472615,1.2343243852624
"Hysterothylacium analarum",1,"1larv",1,1,NA,"larva",3,NA,NA
"Hysterothylacium analarum",2,"adult",2,2,0,"adult",3,NA,NA
"Hysterothylacium analarum",3,"adult",1,1,NA,"adult",3,NA,NA
"Hysterothylacium bidentatum",1,"1larv",1,1,NA,"larva",2,NA,NA
"Hysterothylacium bidentatum",2,"adult",1,1,NA,"adult",2,NA,NA
"Hysterothylacium haze",1,"1larv",5,4.66666666666667,2.22222222222222,"larva",2,NA,NA
"Hysterothylacium haze",2,"adult",1,1,NA,"adult",2,NA,NA
"Hystrichis tricolor",1,"1larv",3,2.66666666666667,0.222222222222222,"larva",2,NA,NA
"Hystrichis tricolor",2,"adult",4,1.5,0.25,"adult",2,NA,NA
"Ibirhynchus dimorpha",1,"1larv",2,2,0,"larva",2,NA,NA
"Ibirhynchus dimorpha",2,"adult",2,4,0,"adult",2,NA,NA
"Joyeuxilepis acanthorhyncha",1,"1larv",3,2,0,"larva",2,NA,NA
"Joyeuxilepis acanthorhyncha",2,"adult",3,1.66666666666667,0.222222222222222,"adult",2,NA,NA
"Joyeuxilepis decacantha",1,"1larv",14,2.48351648351648,0.535442579398623,"larva",2,NA,NA
"Joyeuxilepis decacantha",2,"adult",6,1.6,0.24,"adult",2,NA,NA
"Joyeuxilepis octacantha",1,"1larv",2,2,0,"larva",2,NA,NA
"Joyeuxilepis octacantha",2,"adult",1,1,NA,"adult",2,NA,NA
"Khawia armeniaca",1,"1larv",1,1,NA,"larva",2,NA,NA
"Khawia armeniaca",2,"adult",4,1.83333333333333,0.138888888888889,"adult",2,NA,NA
"Khawia baltica",1,"1larv",1,1,NA,"larva",2,0.26913395944773,2.59150980899465
"Khawia baltica",2,"adult",1,1,NA,"adult",2,NA,NA
"Khawia japonensis",1,"1larv",2,2,0,"larva",2,0.283016578844127,2.63552210568364
"Khawia japonensis",2,"adult",1,1,NA,"adult",2,NA,NA
"Khawia parva",1,"1larv",1,1,NA,"larva",2,NA,NA
"Khawia parva",2,"adult",3,1,0,"adult",2,NA,NA
"Khawia sinensis",1,"1larv",3,1.66666666666667,0.222222222222222,"larva",2,0.0935669310298139,2.45732747123217
"Khawia sinensis",2,"adult",3,2,0,"adult",2,NA,NA
"Labiostrongylus eugenii",1,"adult",1,1,NA,"adult",1,19.2437724391527,4.63490749251491
"Lacistorhynchus dollfusi",1,"1larv",1,1,NA,"larva",3,NA,NA
"Lacistorhynchus dollfusi",2,"2larv",6,3.9,0.09,"larva",3,5.27957699244114,2.45015425327324
"Lacistorhynchus dollfusi",3,"adult",5,2.7,1.21,"adult",3,NA,NA
"Lacistorhynchus tenuis",1,"1larv",2,1,0,"larva",3,0.0014208899973411,0.490552242202911
"Lacistorhynchus tenuis",2,"2larv",3,5.33333333333333,0.888888888888889,"larva",3,0.390803425056594,2.27219627742751
"Lacistorhynchus tenuis",3,"adult",1,1,NA,"adult",3,NA,NA
"Lagochilascaris major",1,"1larv",3,2.66666666666667,0.222222222222222,"larva",2,0.176510491485517,1.88609154113018
"Lagochilascaris major",2,"adult",1,1,NA,"adult",2,6.24533750375622,1.55536429318672
"Lagochilascaris minor",1,"1larv",6,2.8,0.293333333333333,"larva",2,NA,NA
"Lagochilascaris minor",2,"adult",5,3.2,0.56,"adult",2,NA,NA
"Lagochilascaris sprenti",1,"1larv",7,3.42857142857143,0.816326530612245,"larva",2,0.0386250083131288,2.85915614670861
"Lagochilascaris sprenti",2,"adult",1,1,NA,"adult",2,9.32481091173583,2.38396806297031
"Lateriporus clerci",1,"1larv",1,1,NA,"larva",2,NA,NA
"Lateriporus clerci",2,"adult",10,3.35555555555556,1.07358024691358,"adult",2,NA,NA
"Lateriporus mathevossianae",1,"1larv",1,1,NA,"larva",2,NA,NA
"Lateriporus mathevossianae",2,"adult",3,3,2,"adult",2,NA,NA
"Lateriporus skrjabini",1,"1larv",1,1,NA,"larva",2,NA,NA
"Lateriporus skrjabini",2,"adult",8,2.14285714285714,1.33673469387755,"adult",2,NA,NA
"Lateriporus teres",1,"1larv",2,2,0,"larva",2,NA,NA
"Lateriporus teres",2,"adult",7,3,1.42857142857143,"adult",2,NA,NA
"Leidynema appendiculata",1,"adult",2,1,0,"adult",1,0.186297900477797,3.55231974554395
"Leptorhynchoides apoglyphicus",1,"1larv",1,1,NA,"larva",3,0.231367371430442,2.47145799619903
"Leptorhynchoides apoglyphicus",2,"2larv",6,1.53333333333333,0.248888888888889,"larva",3,NA,NA
"Leptorhynchoides apoglyphicus",3,"adult",6,1.6,0.24,"adult",3,NA,NA
"Leptorhynchoides nebularosis",1,"1larv",1,1,NA,"larva",3,NA,NA
"Leptorhynchoides nebularosis",2,"adult",6,1.73333333333333,0.195555555555556,"adult",3,NA,NA
"Leptorhynchoides nebularosis",3,"adult",2,1,0,"adult",3,NA,NA
"Leptorhynchoides thecatus",1,"1larv",1,1,NA,"larva",4,0.375705028938212,2.93989348313027
"Leptorhynchoides thecatus",2,"2larv",3,1,0,"larva",4,NA,NA
"Leptorhynchoides thecatus",3,"adult",4,1.83333333333333,0.138888888888889,"adult",4,NA,NA
"Leptorhynchoides thecatus",4,"adult",1,1,NA,"adult",4,NA,NA
"Libyostrongylus douglassii",1,"adult",1,1,NA,"adult",1,NA,NA
"Liga facile",1,"1larv",1,1,NA,"larva",2,NA,NA
"Liga facile",2,"adult",1,1,NA,"adult",2,NA,NA
"Ligula intestinalis",1,"1larv",14,2.81318681318681,1.1629030310349,"larva",3,NA,NA
"Ligula intestinalis",2,"2larv",27,2.04,0.112246153846154,"larva",3,1216.39570767652,5.94321079541478
"Ligula intestinalis",3,"adult",10,3.13333333333333,1.44888888888889,"adult",3,NA,NA
"Lineolepis scutigera",1,"1larv",7,3.28571428571429,3.15646258503401,"larva",2,0.00452703501382289,1.38726267233931
"Lineolepis scutigera",2,"adult",4,1,0,"adult",2,NA,NA
"Lueheia inscripta",1,"1larv",1,1,NA,"larva",3,NA,NA
"Lueheia inscripta",2,"2larv",3,4.33333333333333,0.888888888888889,"larva",3,NA,NA
"Lueheia inscripta",3,"adult",5,3.3,0.41,"adult",3,38.0909444186034,1.42601123848167
"Macracanthorhynchus catulinus",1,"1larv",3,2,0,"larva",3,4.4339076832351,3.56429449819516
"Macracanthorhynchus catulinus",2,"2larv",14,3.95604395604396,1.18488105301292,"larva",3,NA,NA
"Macracanthorhynchus catulinus",3,"adult",5,2.3,0.41,"adult",3,NA,NA
"Macracanthorhynchus hirudinaceous",1,"1larv",3,2.66666666666667,0.222222222222222,"larva",2,3.95201014702224,3.19599542500755
"Macracanthorhynchus hirudinaceous",2,"adult",1,1,NA,"adult",2,4213.50151135688,3.02795586567583
